model,input_size,augmentation,lr,train_frac,n_train,n_params,best_epoch,total_epochs,total_time_s,test_mae,test_rmse,test_r2
resnet18,128,True,0.001,1.0,700,11177025,20,20,24.7,143.1264,202.8956,0.42733
resnet18,224,False,0.001,1.0,700,11177025,15,20,48.5,125.9643,193.6808,0.478166
resnet18,224,True,0.001,1.0,700,11177025,14,20,47.3,147.4335,200.5989,0.440221
resnet18,320,False,0.001,1.0,700,11177025,14,20,58.4,139.4286,207.8652,0.398933
resnet18,320,True,0.001,1.0,700,11177025,15,20,60.9,148.8669,202.3896,0.430183
efficientnet_b0,128,False,0.001,1.0,700,4008829,19,20,27.6,159.5996,225.784,0.290838
efficientnet_b0,128,True,0.001,1.0,700,4008829,20,20,27.9,170.4264,251.2142,0.122095
efficientnet_b0,224,False,0.001,1.0,700,4008829,20,20,59.8,141.7858,208.9248,0.392789
efficientnet_b0,224,True,0.001,1.0,700,4008829,16,20,60.7,153.0158,231.0211,0.257558
efficientnet_b0,320,False,0.001,1.0,700,4008829,20,20,98.7,133.8098,204.6267,0.417516
efficientnet_b0,320,True,0.001,1.0,700,4008829,20,20,99.9,144.5232,211.0972,0.380096
mobilenet_v3_small,128,False,0.001,1.0,700,1518881,14,20,20.5,138.9013,195.7783,0.466802
mobilenet_v3_small,128,True,0.001,1.0,700,1518881,6,13,13.7,165.3548,226.7424,0.284805
mobilenet_v3_small,224,False,0.001,1.0,700,1518881,3,10,14.5,147.6639,217.1119,0.344268
mobilenet_v3_small,224,True,0.001,1.0,700,1518881,8,15,22.1,148.3089,212.0557,0.374454
mobilenet_v3_small,320,False,0.001,1.0,700,1518881,3,10,13.6,135.0288,203.6861,0.422859
mobilenet_v3_small,320,True,0.001,1.0,700,1518881,5,12,17.3,171.7501,251.0698,0.123104
resnet18,128,False,0.0001,0.25,175,11177025,1,8,3.2,293.0492,396.1777,-1.18343
resnet18,128,True,0.0001,0.25,175,11177025,17,20,8.0,287.8758,385.9041,-1.071657
resnet18,224,False,0.0001,0.25,175,11177025,20,20,14.5,290.724,389.1037,-1.106153
resnet18,224,True,0.0001,0.25,175,11177025,20,20,14.7,288.0556,385.5061,-1.067386
resnet18,320,False,0.0001,0.25,175,11177025,19,20,18.8,291.3614,387.8772,-1.092896
resnet18,320,True,0.0001,0.25,175,11177025,14,20,19.0,290.6785,388.7684,-1.102525
efficientnet_b0,128,False,0.0001,0.25,175,4008829,12,19,9.2,291.028,391.964,-1.137231
efficientnet_b0,128,True,0.0001,0.25,175,4008829,20,20,9.8,284.1904,384.5857,-1.057527
efficientnet_b0,224,False,0.0001,0.25,175,4008829,18,20,19.4,287.2327,389.1454,-1.106605
efficientnet_b0,224,True,0.0001,0.25,175,4008829,9,16,15.7,290.5953,393.1911,-1.150634
efficientnet_b0,320,False,0.0001,0.25,175,4008829,7,14,20.9,290.874,393.196,-1.150688
efficientnet_b0,320,True,0.0001,0.25,175,4008829,10,17,25.8,289.7426,392.1685,-1.139462
mobilenet_v3_small,128,False,0.0001,0.25,175,1518881,8,15,5.7,288.6955,391.5553,-1.132777
mobilenet_v3_small,128,True,0.0001,0.25,175,1518881,11,18,6.9,288.8956,390.4665,-1.120932
mobilenet_v3_small,224,False,0.0001,0.25,175,1518881,5,12,6.3,292.7506,396.2544,-1.184276
mobilenet_v3_small,224,True,0.0001,0.25,175,1518881,5,12,6.4,292.8111,396.2423,-1.184142
mobilenet_v3_small,320,False,0.0001,0.25,175,1518881,4,11,5.2,293.5118,396.9787,-1.192268
mobilenet_v3_small,320,True,0.0001,0.25,175,1518881,5,12,5.8,293.0098,396.4572,-1.186512
resnet18,128,False,0.0001,0.5,350,11177025,17,20,12.4,285.9799,384.0751,-1.052067
resnet18,128,True,0.0001,0.5,350,11177025,18,20,12.7,282.9577,380.1139,-1.009957
resnet18,224,False,0.0001,0.5,350,11177025,15,20,23.7,284.7779,382.7087,-1.037492
resnet18,224,True,0.0001,0.5,350,11177025,19,20,24.1,280.0504,378.078,-0.988484
resnet18,320,False,0.0001,0.5,350,11177025,19,20,32.3,277.2318,373.858,-0.944342
resnet18,320,True,0.0001,0.5,350,11177025,18,20,33.1,280.9615,378.8375,-0.996481
efficientnet_b0,128,False,0.0001,0.5,350,4008829,20,20,15.5,280.5968,383.2151,-1.042887
efficientnet_b0,128,True,0.0001,0.5,350,4008829,16,20,16.0,276.3696,380.2784,-1.011698
efficientnet_b0,224,False,0.0001,0.5,350,4008829,16,20,33.2,281.2403,381.2782,-1.022289
efficientnet_b0,224,True,0.0001,0.5,350,4008829,17,20,32.9,279.267,380.5017,-1.01406
efficientnet_b0,320,False,0.0001,0.5,350,4008829,5,12,31.8,289.5735,391.5338,-1.132543
efficientnet_b0,320,True,0.0001,0.5,350,4008829,18,20,53.9,262.2219,358.4301,-0.78718
mobilenet_v3_small,128,False,0.0001,0.5,350,1518881,5,12,7.1,288.9086,391.3112,-1.130119
mobilenet_v3_small,128,True,0.0001,0.5,350,1518881,20,20,11.9,205.2828,287.856,-0.152683
mobilenet_v3_small,224,False,0.0001,0.5,350,1518881,3,10,8.3,293.47,396.8329,-1.190658
mobilenet_v3_small,224,True,0.0001,0.5,350,1518881,3,10,8.3,292.6199,396.0557,-1.182086
mobilenet_v3_small,320,False,0.0001,0.5,350,1518881,2,9,6.8,293.0424,396.7353,-1.18958
mobilenet_v3_small,320,True,0.0001,0.5,350,1518881,20,20,16.2,179.1845,257.0203,0.081045
resnet18,128,False,0.0001,0.75,525,11177025,20,20,17.4,280.6006,377.7293,-0.984818
resnet18,128,True,0.0001,0.75,525,11177025,19,20,17.6,274.761,371.4344,-0.919214
resnet18,224,False,0.0001,0.75,525,11177025,16,20,33.2,279.4482,376.2698,-0.969509
resnet18,224,True,0.0001,0.75,525,11177025,13,20,34.0,278.8463,375.3958,-0.960369
resnet18,320,False,0.0001,0.75,525,11177025,14,20,48.4,279.1595,376.683,-0.973837
resnet18,320,True,0.0001,0.75,525,11177025,14,20,48.0,273.5327,372.0355,-0.925431
efficientnet_b0,128,False,0.0001,0.75,525,4008829,12,19,20.9,274.4419,374.6935,-0.953041
efficientnet_b0,128,True,0.0001,0.75,525,4008829,20,20,23.7,261.3535,365.202,-0.855349
efficientnet_b0,224,False,0.0001,0.75,525,4008829,10,17,43.6,276.371,377.2447,-0.979728
efficientnet_b0,224,True,0.0001,0.75,525,4008829,20,20,48.1,275.2093,376.4241,-0.971125
efficientnet_b0,320,False,0.0001,0.75,525,4008829,12,19,74.8,270.9751,370.272,-0.907221
efficientnet_b0,320,True,0.0001,0.75,525,4008829,20,20,79.0,258.5513,353.9756,-0.743034
mobilenet_v3_small,128,False,0.0001,0.75,525,1518881,19,20,17.2,164.3676,228.6495,0.272723
mobilenet_v3_small,128,True,0.0001,0.75,525,1518881,20,20,17.5,161.5302,223.046,0.307933
mobilenet_v3_small,224,False,0.0001,0.75,525,1518881,2,9,10.8,293.4079,396.6883,-1.189062
mobilenet_v3_small,224,True,0.0001,0.75,525,1518881,19,20,24.2,172.3918,236.4748,0.222091
mobilenet_v3_small,320,False,0.0001,0.75,525,1518881,1,8,8.9,294.0619,397.7036,-1.200281
mobilenet_v3_small,320,True,0.0001,0.75,525,1518881,20,20,23.2,147.9693,223.3633,0.305962
resnet18,128,False,0.0001,1.0,700,11177025,17,20,23.0,271.7123,367.0113,-0.873778
resnet18,128,True,0.0001,1.0,700,11177025,20,20,23.0,264.0425,360.2595,-0.80547
resnet18,224,False,0.0001,1.0,700,11177025,17,20,44.8,273.5524,368.365,-0.887625
resnet18,224,True,0.0001,1.0,700,11177025,9,16,39.9,281.8164,380.1158,-1.009977
resnet18,320,False,0.0001,1.0,700,11177025,20,20,70.6,272.6073,369.0316,-0.894464
resnet18,320,True,0.0001,1.0,700,11177025,14,20,69.6,262.7369,360.9532,-0.812429
efficientnet_b0,128,False,0.0001,1.0,700,4008829,17,20,29.7,254.6411,349.7191,-0.701367
